item_id,text,keywords,proposition_id,dependency,category_broad,category_detailed,tuple,question_natural_language
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,13,1,relation,spatial,"relation - spatial (necklace, space, draped)",Is the necklace draped in the space?
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,14,1,relation,spatial,"relation - spatial (smartphone, space, held)",Is the smartphone held in the space?
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,15,1,relation,spatial,"relation - spatial (room, space, around)",Is the room around the space?
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,16,6,relation,spatial,"relation - spatial (couch, room, nearby)",Is the couch nearby the room?
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,17,6,relation,spatial,"relation - spatial (coffee table, couch, near)",Is the coffee table near the couch?
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,18,9,relation,spatial,"relation - spatial (magazines, coffee table, on)",Are the magazines on the coffee table?
partiprompts97,"An empty space where an invisible man would be, with a pair of horn-rimmed glasses seemingly floating in mid-air, and a pearl bead necklace draped in the space below them. In the space where his hands would be, a smartphone is held, as if being operated by the unseen figure. Around this curious scene, the room appears ordinary, with a couch and a coffee table nearby, upon which rests a scattering of magazines and a remote control.",,19,10,relation,spatial,"relation - spatial (remote control, coffee table, on)",Is the remote control on the coffee table?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,1,0,entity,whole,entity - whole (potted plant),Is there a potted plant?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,2,1,entity,whole,entity - whole (flowers),Are there flowers?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,3,2,entity,whole,entity - whole (petals),Are there petals?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,4,1,entity,whole,entity - whole (leaves),Are there leaves?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,5,2,attribute,size,"attribute - size (flowers, delicate, small)",Are the flowers delicate and small?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,6,3,attribute,color,"attribute - color (petals, vibrant purple)",Are the petals vibrant purple?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,7,4,attribute,color,"attribute - color (leaves, green)",Are the leaves green?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,8,4,attribute,texture,"attribute - texture (leaves, lush)",Are the leaves lush?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,9,9,attribute,texture,"attribute - texture (wall, light-colored)",Is the wall light-colored?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,10,1,relation,spatial,"relation - spatial (plant, windowsill, on)",Is the plant on a wooden windowsill?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,11,1,relation,spatial,"relation - spatial (flowers, plant, featuring)",Are the flowers featured on the plant?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,12,2,attribute,color,"attribute - color (petals, flowers, vibrant purple)",Are the petals vibrant purple?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,13,4,relation,spatial,"relation - spatial (leaves, plant, interspersed)",Are the leaves interspersed among the flowers?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,14,10,relation,spatial,"relation - spatial (sunlight, window, through)",Is sunlight filtering through the window?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,15,"1,10",relation,spatial,"relation - spatial (sunlight, plant, on)",Is the sunlight on the plant?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,16,"1,4",relation,spatial,"relation - spatial (glow, foliage, soft)",Is there a soft glow on the foliage?
partiprompts301,"a potted plant with delicate small flowers featuring vibrant purple petals sits on a wooden windowsill. the plant's green leaves are lush and interspersed among the flowers, creating a contrast against the light-colored wall behind it. sunlight filters through the window, casting a soft glow on the plant's foliage and petals.",,17,"2,4",relation,spatial,"relation - spatial (glow, petals, soft)",Is there a soft glow on the petals?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,1,0,entity,whole,entity - whole (ivy plant),Is there an ivy plant?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,2,1,entity,whole,entity - whole (leaves),Are there leaves?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,3,0,entity,whole,entity - whole (wall),Is there a wall?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,4,0,entity,whole,entity - whole (bricks),Are there bricks?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,5,1,entity,whole,entity - whole (tendrils),Are there tendrils?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,6,1,entity,whole,entity - whole (patches of moss),Are there patches of moss?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,7,1,attribute,color,"attribute - color (ivy plant, green)",Is the ivy plant green?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,8,3,attribute,color,"attribute - color (wall, red)",Is the wall red?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,9,3,attribute,texture,"attribute - texture (wall, weathered)",Is the wall weathered?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,10,3,attribute,texture,"attribute - texture (wall, rough)",Is the wall rough?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,11,5,attribute,texture,"attribute - texture (tendrils, firmly attached)",Are the tendrils firmly attached?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,12,4,attribute,texture,"attribute - texture (bricks, rough)",Are the bricks rough?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,13,6,attribute,texture,"attribute - texture (moss, small patches)",Are there small patches of moss?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,14,"1,3",relation,spatial,"relation - spatial (ivy plant, wall, up)",Is the ivy plant creeping up the wall?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,15,"1,4",relation,spatial,"relation - spatial (ivy plant, bricks, on)",Is the ivy plant on the bricks?
partiprompts306,"A lush green ivy plant with broad leaves, creeping up the side of a weathered red brick wall. The wall has a rough texture, and the plant's tendrils are firmly attached, showcasing the contrast between the organic growth and the man-made structure. Small patches of moss can also be seen interspersed between the bricks, adding to the visual diversity of the scene.",,16,"4,6",relation,spatial,"relation - spatial (moss, bricks, interspersed)",Are the patches of moss interspersed between the bricks?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,1,0,global,,global - (detailed),Is this a detailed painting?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,2,0,global,,global - (oil painting),Is this an oil painting?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,3,0,entity,whole,entity - whole (raccoon),Is there a raccoon?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,4,3,entity,part,entity - part (raccoon's top hat),Does the raccoon have a top hat?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,5,3,entity,part,entity - part (raccoon's fur),Is the raccoon's fur textured?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,6,3,entity,part,entity - part (raccoon's paws),Are the raccoon's paws holding an apple?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,7,0,entity,whole,entity - whole (apple),Is there an apple?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,8,4,attribute,color,"attribute - color (top hat, black)",Is the top hat black?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,9,5,attribute,color,"attribute - color (fur, varied)",Is the fur of the raccoon varied in color?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,10,5,attribute,texture,"attribute - texture (fur, textured)",Is the fur of the raccoon textured?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,11,5,attribute,texture,"attribute - texture (background, swirling)",Is the background swirling?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,12,5,attribute,texture,"attribute - texture (background, vibrant)",Is the background vibrant?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,13,5,attribute,texture,"attribute - texture (background, movement)",Does the background give the impression of movement?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,14,"3,7",relation,spatial,"relation - spatial (raccoon, apple, clutch)",Is the raccoon clutching the apple?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,15,"3,11",relation,spatial,"relation - spatial (raccoon, background, in)",Is the raccoon in the background?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,16,3,entity,state,"entity - state (raccoon, elderly)",Is the raccoon elderly?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,17,3,entity,state,"entity - state (raccoon, adorned)",Is the raccoon adorned?
partiprompts161,"a detailed oil painting that captures the essence of an elderly raccoon adorned with a distinguished black top hat. The raccoon's fur is depicted with textured, swirling strokes reminiscent of Van Gogh's signature style, and it clutches a bright red apple in its paws. The background swirls with vibrant colors, giving the impression of movement around the still figure of the raccoon.",,18,3,entity,state,"entity - state (raccoon, distinguished)",Is the raccoon distinguished?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,1,0,entity,whole,entity - whole (pickup trucks),Are there pickup trucks?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,2,1,other,count,"other - count (pickup trucks, ==3)",Are there three pickup trucks?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,3,2,attribute,color,"attribute - color (bottom truck, red)",Is the bottom truck red?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,4,2,attribute,color,"attribute - color (middle truck, faded blue)",Is the middle truck faded blue?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,5,2,attribute,color,"attribute - color (top truck, dusty white)",Is the top truck dusty white?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,6,1,attribute,texture,"attribute - texture (trucks, dented and scratched)",Are the trucks dented and scratched?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,7,1,attribute,other,"attribute - other (trucks, precarious stack)",Are the trucks in a precarious stack?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,8,1,attribute,other,"attribute - other (trucks, rough conditions)",Have the trucks been through rough conditions?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,9,0,entity,whole,entity - whole (sky),Is there a sky?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,10,9,attribute,other,"attribute - other (sky, clear)",Is the sky clear?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,11,0,entity,whole,entity - whole (gravel lot),Is there a gravel lot?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,12,"1,9",relation,spatial,"relation - spatial (trucks, sky, against)",Are the trucks against the sky?
partiprompts231,"a precarious stack of three pickup trucks with the bottom one painted red, the middle one a faded blue, and the top one a dusty white. Each truck is dented and scratched, suggesting they've been through rough conditions. The trucks are set against a backdrop of a clear sky, and they cast long shadows on the gravel lot where they are stacked.",,13,"1,11",relation,spatial,"relation - spatial (trucks, gravel lot, on)",Are the trucks on the gravel lot?
